"","Actual_Class","Predicted_Class","Freq","sum","Prob"
"1","Bicycle","Bicycle",15,125,0.12
"2","Car","Bicycle",1,4853,0.000206058108386565
"3","PT","Bicycle",1,365,0.00273972602739726
"4","Walking","Bicycle",0,1034,0
"5","Bicycle","Car",84,125,0.672
"6","Car","Car",4739,4853,0.976509375643932
"7","PT","Car",298,365,0.816438356164384
"8","Walking","Car",555,1034,0.536750483558994
"9","Bicycle","PT",1,125,0.008
"10","Car","PT",4,4853,0.00082423243354626
"11","PT","PT",41,365,0.112328767123288
"12","Walking","PT",2,1034,0.00193423597678917
"13","Bicycle","Walking",25,125,0.2
"14","Car","Walking",109,4853,0.0224603338141356
"15","PT","Walking",25,365,0.0684931506849315
"16","Walking","Walking",477,1034,0.461315280464217
