"","ORIGSA2_Code","Active","Car","Proportion"
"1",206011105,52,56,0.481481481481481
"2",206011106,34,24,0.586206896551724
"3",206011107,8,16,0.333333333333333
"4",206011108,35,74,0.321100917431193
"5",206011109,1,19,0.05
"6",206021110,23,50,0.315068493150685
"7",206021111,17,50,0.253731343283582
"8",206021112,4,47,0.0784313725490196
"9",206031113,24,52,0.315789473684211
"10",206031114,17,101,0.144067796610169
"11",206031115,8,15,0.347826086956522
"12",206031116,32,51,0.385542168674699
"13",206041117,16,28,0.363636363636364
"14",206041118,77,32,0.706422018348624
"15",206041119,46,37,0.55421686746988
"16",206041120,1,1,0.5
"17",206041121,26,31,0.456140350877193
"18",206041122,354,116,0.753191489361702
"19",206041123,23,24,0.48936170212766
"20",206041124,33,34,0.492537313432836
"21",206041125,21,24,0.466666666666667
"22",206041126,77,36,0.68141592920354
"23",206041127,0,8,0
"24",206051128,41,53,0.436170212765957
"25",206051129,24,39,0.380952380952381
"26",206051130,18,20,0.473684210526316
"27",206051131,6,26,0.1875
"28",206051132,28,47,0.373333333333333
"29",206051133,53,65,0.449152542372881
"30",206051134,29,44,0.397260273972603
"31",206061135,7,20,0.259259259259259
"32",206061136,32,44,0.421052631578947
"33",206061137,21,36,0.368421052631579
"34",206061138,12,36,0.25
"35",206071139,26,32,0.448275862068966
"36",206071140,3,12,0.2
"37",206071141,10,22,0.3125
"38",206071142,20,32,0.384615384615385
"39",206071143,34,46,0.425
"40",206071144,84,109,0.435233160621762
"41",206071145,12,30,0.285714285714286
"42",207011146,2,24,0.0769230769230769
"43",207011147,12,79,0.131868131868132
"44",207011148,15,100,0.130434782608696
"45",207011149,40,123,0.245398773006135
"46",207011150,24,73,0.247422680412371
"47",207011151,31,94,0.248
"48",207011152,22,63,0.258823529411765
"49",207011153,26,115,0.184397163120567
"50",207011154,9,25,0.264705882352941
"51",207011155,14,85,0.141414141414141
"52",207021156,2,62,0.03125
"53",207021157,5,73,0.0641025641025641
"54",207021159,7,100,0.0654205607476635
"55",207021160,3,46,0.0612244897959184
"56",207031161,34,150,0.184782608695652
"57",207031162,8,57,0.123076923076923
"58",207031163,18,105,0.146341463414634
"59",207031164,9,42,0.176470588235294
"60",207031165,12,37,0.244897959183673
"61",207031166,6,106,0.0535714285714286
"62",207031167,2,29,0.0645161290322581
"63",208011168,2,33,0.0571428571428571
"64",208011169,14,120,0.104477611940299
"65",208011170,5,30,0.142857142857143
"66",208011171,2,32,0.0588235294117647
"67",208011172,23,117,0.164285714285714
"68",208011173,4,31,0.114285714285714
"69",208021174,7,70,0.0909090909090909
"70",208021176,11,65,0.144736842105263
"71",208021177,15,82,0.154639175257732
"72",208021178,9,62,0.126760563380282
"73",208021179,10,46,0.178571428571429
"74",208021180,11,47,0.189655172413793
"75",208021181,7,26,0.212121212121212
"76",208021182,3,13,0.1875
"77",208031183,5,30,0.142857142857143
"78",208031184,0,22,0
